Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Girlfriend","Avril Lavigne","The Best Damn Thing (Expanded Edition)","Life","Playlist","USRC10700021","45hOioMDJktr86iKDHC8gr"
"Hey There Delilah","Plain White T's","All That We Needed","Life","Playlist","US5260507213","4RCWB3V8V0dignt99LZ8vH"
"My Ordinary Life","The Living Tombstone","My Ordinary Life","Life","Playlist","QZANL1777908","6tMdpUXfT70TD6Eh3XfB1p"
"It's Been So Long","The Living Tombstone","It's Been So Long","Life","Playlist","USDHM1513724","463r5bsN1VqGXtaMctn4Rr"
"No Mercy","The Living Tombstone","No Mercy","Life","Playlist","QZ4JJ1733855","3tbwKbrgDNjT4JvM4SVAtz"
"Discord","The Living Tombstone","Discord","Life","Playlist","QZHNB1988493","611nlMA40SKg9gQ4pTVXT3"
"Jump Up, Super Star!","The Living Tombstone","Jump Up, Super Star!","Life","Playlist","QZANL1712887","3CaTo1YUgxW3hweuRNr2CJ"
"Love Taste","Moe Shop","Love Taste","Life","Playlist","QZES71984354","0XVoD3TmJVEYdRzZoe0Ewy"
"Hidden In the Sand","Tally Hall","Marvin's Marvelous Mechanical Museum","Life","Playlist","TCAAY1158683","0RjG5JmdOWXAR68dGlKBA5"
"Love Like You","Caleb Hyles","Love Like You","Life","Playlist","UST8K1762802","1EpKvCBKXiJUtU47LFtZ38"
"Shinzou Wo Sasageyo (Attack on Titan)","NateWantsToBattle","Shinzou Wo Sasageyo (Attack on Titan)","Life","Playlist","QM2PV1712104","642Zd1NC6fLzbLhjQ8ykcZ"
"Better Off (Dying)","Lil Peep","Come Over When You're Sober, Pt. 1","Life","Playlist","UKELY1700055","1tlrTC3x7viJ1U30oOFGdF"
"Star Shopping","Lil Peep","Star Shopping","Life","Playlist","UKELY1800203","30bqVoKjX479ab90a8Pafp"
"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock","King's Dead (with Kendrick Lamar, Future & James Blake)","Life","Playlist","USUM71714093","51rXHuKN8Loc4sUlKPODgH"
"Fake You Out","Twenty One Pilots","Vessel","Life","Playlist","USAT21203519","3MLtopC0uho28PxZN7Zecy"
"Car Radio","Twenty One Pilots","Vessel","Life","Playlist","USAT21203515","5cbpoIu3YjoOwbBDGUEp3P"
"Dior","Pop Smoke","Meet The Woo","Life","Playlist","USUM71914275","79s5XnCN4TJKTVMSmOx8Ep"
"Element","Pop Smoke","Meet The Woo 2","Life","Playlist","USUM72002041","57BGVV6wcyhbn3hsjlqEZB"
"Get Back","Pop Smoke","Meet The Woo 2","Life","Playlist","USUM72002036","3DWjFSDEQ9IWz1mj449fB7"
"Knock Knock","SoFaygo","Angelic 7","Life","Playlist","QZFYX2070670","6aHoPULNO7pSL2ZfUY0bU8"
